#,Item No.,Item Description,In Stock,Committed,Ordered,Available,Inventory UoM
111,ALGDAF3131,DALI AZUL FLOOR 31.6X31.6 CM -ALBA GRES SPAIN,0.1,,,0.1,M2
112,ALGDNF3131,DALI NARANJA 31.6X31.6 -Floor-ALBA GRES SPAIN,0.1,,,0.1,M2
113,ALGOAW3057,ODA AZUL 30X57 -WALL-ALBA GRES SPAIN,0.522,,,0.522,M2
114,ALGOBW3057,ODA BEIGE WALL 30X57CM ALBA GRES SPAIN,0.18,,,0.18,M2
115,ALGONW3057,ODA NARANJA 30X57 -WALL-ALBA GRES SPAIN,0.52,,,0.52,M2
116,ALHSABT17070,SINT ACRYLIC BATH TUB 170X70CM - AL HILAL FIBER OMAN,,,,,PCS
117,ALJ329M,329 MIRROR AL JAWDAH SAUDI,,,,,PCS
118,ALJAHBM,AH BLUE AL JAWDAH SAUDI,4,,,4,PCS
119,ALJSM,SUSU MIRROR AL JAWDAH SAUDI,1,,,1,PCS
120,ALM431EVA614401,431 EVA 6144 01 VILLEROY&BOCH EVANA UNDER COUNTER WASH BASIN WHITE,,,,,PCS
121,ALM431LF61620101,431 L&F 616201 01 VILLEROY & BOCH LOOP & FRIENDS UNDERCOUNTER BASIN 28X28 CM SQUARE WHITE,,,,,PCS
122,ALM431VEN4611R001,"431 VEN 4611R0 01 VILLEROY&BOCH VENTICELLO WALL MTD WC, DIRECT FLUSH 560X375MM,WHITE",,,,,PCS
123,ALM431VEN9M79S101,431 VEN 9M79S1 01 VILLEROY&BOCH VENTICELLO WC SEAT COVER SC/QR-WHITE,,,,,PCS
124,ALM431VIC92246100,431 VIC 92246100 VILLEROY&BOCH VICONNECT CONC. FLUSH CISTERN 525X1120X205MM FRAME FOR DRYWALL,,,,,PCS
125,ALM431VIC92249061,"431 VIC 922490 61 VILLEROY&BOCH VICONNECT(E200) WATER SAVING DUAL FLUSH PLATE 253X145MM,CHROME",,,,,PCS
126,ALM4A205601,4A205601 COLLARO SURFACE-MOUNTED WASHBASIN 560X360MM - VILLEROY & BOCH,,,,,PCS
127,ALM68080001,68080001 NON-CLOSABLE VALVE BASIN WASTE WITH COVER WHITE - VILLEROY & BOCH,,,,,PCS
128,ALMB70170,ACRYLIC BATHTUB 70X170 AL MAHIR DUBAI,,,,,PCS
129,ALPAGO185,AGO185 FREE STANDING WASH BASIN - ANTONIO LUPI,,,,,PCS
130,ALPALBULBO,A.L. BULBO CERAMILUX SINK 63X42X15 WITH DRAIN PIP BULBO-ANTONIOLUPI ITALY,,,,,PCS
131,ALPALCABO,A.L. CABO SUSPENDE CERAMIC WC WITH WALL DRAIN/GLOSS CABO1-ANTONIOLUPI ITALY,,,,,PCS
132,ALPALSLOT22,A.L. SLOT 22 72X50CM WASHBASIN SLOT WITH TAP HOLE-ANTONIOLUPI ITALY,,,,,PCS
133,ALPND902IN,"ND902IN FREE STANDING WASH BASIN MIXER, SATIN BRASS - ANTONIO LUPI",,,,,PCS
134,AMBGSD,GLASS SOAP DISPENSER BRONZE FINISH-AMBER AUSTRALIA,,,,,PCS
135,AMCIB30,INTEGRATE BROWN FLOOR 30X30 CM-AL MAHA OMAN,0.09,,,0.09,M2
136,AMCSG30,STELLAR GREY FLOOR 30X30 CM-AL MAHA OMAN OMAN,0.09,,,0.09,M2
137,AMS0355012020,0355.012.020 LUCERNE WASHHAND LAVATORY WITH WALL HANGER-AMERICAN STANDARD,,,,,PCS
